frames,neutral,happy,sad,angry,fearful,disgusted,surprised
0,0.29999250173568726,0.04123593494296074,0.5618760585784912,0.02815762534737587,0.006867585703730583,0.0001291848166147247,0.061741046607494354
1,0.9845941662788391,0.015343420207500458,6.323248726403108e-06,2.0935269731126027e-06,6.883119851863739e-08,1.0971066188858458e-07,5.400973168434575e-05
2,0.9985876679420471,0.0010941926157101989,9.225961548509076e-05,1.4584441487386357e-05,1.1041740890505025e-06,1.920417673773045e-07,0.00021015355014242232
3,0.994346022605896,0.004837986081838608,2.2772030206397176e-05,6.0673839470837265e-05,1.5384641756099882e-06,6.02439740760019e-07,0.0007305198814719915
4,0.9643476009368896,0.002158700255677104,3.402849131362018e-07,3.239652869524434e-05,3.461340384092182e-06,6.83052334693457e-08,0.033457569777965546
5,0.9978208541870117,0.00018528975488152355,4.376554443297209e-06,3.552458338162978e-06,1.76015547026509e-07,3.023286154757443e-08,0.0019857464358210564
6,0.9953051805496216,0.0007671601488254964,0.0002155567635782063,7.190635369624943e-05,6.959488018765114e-06,1.657626285123115e-06,0.00363145861774683
7,0.9988953471183777,0.0005230572423897684,1.1591677321121097e-05,6.230518192751333e-05,3.261648373609205e-07,3.7081557024976064e-07,0.0005069086328148842
8,0.9982753396034241,0.0004829062381759286,1.4449576156039257e-05,3.673794708447531e-05,9.68502263276605e-07,6.661002203145472e-07,0.0011889580637216568
9,0.9995309114456177,0.000138718998641707,7.204242865554988e-05,2.234837484138552e-05,3.409987243685464e-07,6.249993589335645e-07,0.00023483054246753454
10,0.9963215589523315,0.00029215135145932436,0.0005653831176459789,2.706224586290773e-05,2.133309499185998e-05,1.0377423222962534e-06,0.0027713682502508163
11,0.9974921941757202,0.0002539755660109222,2.0132956706220284e-05,1.1783025001932401e-05,5.046449018664134e-07,2.6985861723005655e-07,0.0022210802417248487
12,0.9966311454772949,0.00016728730406612158,0.0004912107833661139,0.00014751218259334564,1.1755996638385113e-05,7.157477739383467e-07,0.0025502415373921394
13,0.999786913394928,4.9896498239832e-05,0.0001050658684107475,1.164702553069219e-05,3.74257268731526e-07,6.135351782177167e-08,4.6130051487125456e-05
14,0.9995018243789673,6.501543248305097e-05,1.2952017641509883e-05,2.2126820113044232e-05,1.336771759952171e-07,5.808012133456941e-07,0.0003971138794440776
15,0.9971832633018494,0.00011099816765636206,0.00011528053437359631,1.8017179172602482e-05,2.307480372110149e-06,2.8462912382565264e-07,0.0025697648525238037
16,0.9964607954025269,0.0002764806558843702,0.00015056093980092555,2.1261366782709956e-05,4.0821946640789974e-06,7.120546001715411e-07,0.0030861557461321354
17,0.999139666557312,0.00011614456889219582,0.00011639966396614909,1.4413915778277442e-05,6.521856334984477e-07,1.8634283094343118e-07,0.000612519565038383
18,0.9987748265266418,3.311863838462159e-05,2.963807673950214e-05,1.189363047160441e-05,4.1448546994615754e-07,4.571209899495443e-08,0.0011503100395202637
19,0.9987848401069641,9.14095580810681e-05,0.0005630464875139296,0.00010459672921570018,6.0330530686769634e-06,5.35707783910766e-07,0.0004496726323850453
20,0.9994803667068481,5.170334770809859e-05,0.0003182498039677739,3.61597521987278e-05,3.1588626825396204e-07,4.726283009404142e-08,0.00011332048597978428
21,0.999599039554596,0.0002394435869064182,1.2418827282090206e-05,7.157288564485498e-06,8.507009852110059e-08,1.840598713442887e-07,0.00014157309487927705
22,0.9998169541358948,3.4547338145785034e-05,2.9147044187993743e-05,2.492892963346094e-05,2.2159639456731384e-07,1.3440728707792005e-07,9.428875637240708e-05
23,0.9982444047927856,0.0003449010837357491,0.0005797194316983223,0.00027379891253076494,3.5350767575437203e-06,2.742769993346883e-07,0.0005533580551855266
24,0.9986799955368042,0.0002519534027669579,5.6567507272120565e-05,0.00022279770928435028,1.5955940853018546e-06,2.096199750667438e-06,0.0007849476533010602
25,0.99958336353302,5.3495470638154075e-05,3.547028609318659e-05,5.212062751525082e-05,2.3093237189186766e-07,1.245580847353267e-07,0.00027525704354047775
26,0.9981102347373962,0.00011293865100014955,0.00019967692787759006,0.001164871035143733,1.927825223901891e-06,6.298594144027447e-07,0.0004096716293133795
27,0.9998278617858887,3.189462950103916e-05,7.591081157443114e-06,4.542322130873799e-05,3.7991455315022904e-08,6.640050287387567e-08,8.70405783643946e-05
