frames,neutral,happy,sad,angry,fearful,disgusted,surprised
0,0.5693950653076172,3.567988460417837e-05,2.422279976599384e-06,0.4305146336555481,1.7896251147675457e-09,5.135563333169557e-05,8.04246326424618e-07
1,0.9986974000930786,0.0009446180192753673,1.9094904928351752e-05,0.0003182786167599261,9.743651219196181e-09,1.140293989010388e-06,1.9617842553998344e-05
2,0.9994732737541199,0.0004931087605655193,1.4710292816744186e-05,6.96883262207848e-06,1.207218769394558e-09,4.158010142418789e-06,7.955293767736293e-06
3,0.9978992938995361,0.0020643011666834354,7.939878742035944e-06,1.5152724699873943e-05,5.2657163962521736e-08,7.529261438321555e-06,5.845588930242229e-06
4,0.9991782903671265,0.0007912674336694181,3.173756567775854e-06,8.193378562282305e-06,3.4505576174126418e-09,3.114779246971011e-06,1.5749521480756812e-05
5,0.99937504529953,0.0005300362245179713,3.940932219848037e-05,1.4914659004716668e-05,3.8818126490980376e-09,5.630382929666666e-06,3.475467747193761e-05
6,0.9998355507850647,0.00013470096746459603,1.9328512280480936e-05,3.6993999401602196e-06,1.6842789385407286e-09,1.1398026344977552e-06,5.712447546102339e-06
7,0.9993934035301208,6.511172978207469e-05,0.0004281392029952258,6.3074930949369445e-06,1.2611319100130913e-08,2.68617031906615e-06,0.00010422470950288698
8,0.9870970249176025,0.000365291052730754,0.00026859925128519535,0.011682260781526566,1.567003948821366e-08,0.0005126679898239672,7.407706289086491e-05
9,0.9949791431427002,2.9813074888807023e-06,0.00016383908223360777,0.00482465885579586,8.387215899574585e-08,5.51480798094417e-06,2.3950389731908217e-05
10,0.9960388541221619,2.1259944332996383e-05,0.0004249547200743109,0.003425197210162878,1.3439236568046908e-07,8.766670362092555e-06,8.075635560089722e-05
11,0.9867572784423828,6.428040069295093e-05,0.0009171344572678208,0.012059553526341915,1.0587510814730194e-06,4.8729874833952636e-05,0.00015209220873657614
12,0.9988420009613037,1.340564267593436e-05,9.020703873829916e-05,0.000920827325899154,1.2287782347186749e-08,6.824032425356563e-06,0.00012683693785220385
13,0.9995933175086975,3.5457296689855866e-06,2.5901706521835877e-06,0.00037426361814141273,1.1069835048616028e-09,4.729576517092937e-07,2.5544324671500362e-05
14,0.9990915060043335,8.938298378780019e-06,1.8075799744110554e-05,0.0006857594125904143,8.951094976339391e-09,1.9574629277485656e-06,0.00019343645544722676
15,0.9979798197746277,1.045645785779925e-05,1.3595137716038153e-05,0.0019393115071579814,2.014258271287872e-08,3.305750624349457e-07,5.662224066327326e-05
16,0.998178243637085,7.813378942955751e-06,5.821310878673103e-06,0.0017680673627182841,2.823940548069004e-08,1.550099455016607e-06,3.8391415728256106e-05
17,0.9986761808395386,2.1690364519599825e-05,6.72820442559896e-06,0.001204047235660255,6.00034510966907e-08,2.1166149508644594e-06,8.91029994818382e-05
18,0.9961726069450378,2.5633331460994668e-05,4.907067705062218e-06,0.002610208233818412,1.2328429193075863e-06,6.296437504715868e-07,0.0011848907452076674
19,0.9576736688613892,9.906645573209971e-05,0.00013074053276795894,0.038273584097623825,2.8582991944858804e-05,4.489591810852289e-05,0.0037493170239031315
20,0.9937901496887207,6.270505400607362e-05,4.8125521061592735e-06,0.0038191648200154305,4.7426315177290235e-06,2.355944616283523e-06,0.002315823221579194
21,0.9793446660041809,1.0370768904977012e-05,0.0032649263739585876,0.003987418487668037,3.186327433013503e-07,4.2270472476957366e-05,0.013350008055567741
22,0.9918049573898315,6.101321105234092e-06,3.927362286049174e-06,0.0008391423616558313,1.1191441728897189e-07,1.6657084245252918e-07,0.007345733232796192
23,0.9785589575767517,9.289465197070967e-06,4.845757575822063e-05,0.017191613093018532,4.050776169606252e-06,1.6976563301795977e-06,0.00418586190789938
